Date,IDs,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area
25/12/2012,173,173,173,173,173,173,173,173,173,84,173,173,173,173,173,173
26/01/2012,548,548,548,548,548,548,548,548,548,345,548,548,548,548,547,548
26/02/2012,274,274,274,274,274,274,274,274,274,184,274,274,274,274,274,274
26/03/2012,608,608,608,608,608,608,608,608,608,401,608,608,608,608,607,608
26/04/2012,527,527,527,527,527,527,527,527,527,326,527,527,527,527,526,527
26/05/2012,650,650,650,650,650,650,650,650,650,395,650,650,650,650,650,650
26/06/2012,502,502,502,502,502,502,502,502,502,325,502,502,502,502,500,502
26/07/2012,574,574,574,574,574,574,574,574,574,363,574,574,574,574,573,574
26/08/2012,328,328,328,328,328,328,328,328,328,192,328,328,328,328,327,328
26/09/2012,592,592,592,592,592,592,592,592,592,373,592,592,592,592,592,592
26/10/2012,521,521,521,521,521,521,520,521,521,329,521,521,521,521,518,521
26/11/2012,579,579,579,579,579,579,579,579,579,382,579,579,579,579,576,579
26/12/2012,271,271,271,271,271,271,271,271,271,147,271,271,271,271,268,271
27/01/2012,669,669,669,669,669,669,668,669,669,398,669,669,669,669,668,669
27/02/2012,456,456,456,456,456,456,456,456,456,275,456,456,456,456,455,456
27/03/2012,637,637,637,637,637,637,637,637,637,390,637,637,637,637,636,637
27/04/2012,587,587,587,587,587,587,587,587,587,389,587,587,587,587,585,587
27/05/2012,487,487,487,487,487,487,487,487,487,280,487,487,487,487,485,487
27/06/2012,496,496,496,496,496,496,496,496,496,320,496,496,496,496,496,496
27/07/2012,525,525,525,525,525,525,525,525,525,329,525,525,525,525,524,525
27/08/2012,323,323,323,323,323,323,323,323,323,177,323,323,323,323,323,323
27/09/2012,571,571,571,571,571,571,571,571,571,366,571,571,571,571,570,571
27/10/2012,542,542,542,542,542,542,542,542,542,323,542,542,542,542,541,542
27/11/2012,563,563,563,563,563,563,563,563,563,360,563,563,563,563,561,563
27/12/2012,348,348,348,348,348,348,348,348,348,192,348,348,348,348,348,348
28/01/2012,489,489,489,489,489,489,489,489,489,300,489,489,489,489,488,489
28/02/2012,546,546,546,546,546,546,546,546,546,319,546,546,546,546,544,546
28/03/2012,639,639,639,639,639,639,639,639,639,428,639,639,639,639,637,639
28/04/2012,447,447,447,447,447,447,447,447,447,281,447,447,447,447,443,447
28/05/2012,600,600,600,600,600,600,600,600,600,384,600,600,600,600,599,600
28/06/2012,579,579,579,579,579,579,579,579,579,369,579,579,579,579,578,579
28/07/2012,469,469,469,469,469,469,469,469,469,286,469,469,469,469,469,469
28/08/2012,541,541,541,541,541,541,541,541,541,339,541,541,541,541,541,541
